No,Kategori,Tim1,Tim2,Lokasi,Tanggal,Jam,
1,FUTSAL,FPSI,FIA,SOR,01-11-2024,19.00-20.00,
2,FUTSAL,FK,FF,SOR,01-11-2024,20.00-21.00,
3,FUTSAL,FIK,FKM,SOR,01-11-2024,21.00-22.00,
4,SEPAK BOLA,FT,FMIPA,STADION,01-11-2024,19.00-22.00,
5,VALORANT,FIB,FEB,ONLINE,01-11-2024,18.15-20.45,
6,TENIS LAPANGAN,FIA,FEB,LAPANGAN TENIS UI,01-11-2024,19.30-20.30,
7,TENIS LAPANGAN,FH,FMIPA,LAPANGAN TENIS UI,01-11-2024,20.30-21.30,
8,TENIS LAPANGAN,FT,FISIP,LAPANGAN TENIS UI,01-11-2024,18.30-19.30,
9,TENIS LAPANGAN,FK,VOK,LAPANGAN TENIS UI,01-11-2024,19.30-20.30,
10,TENIS LAPANGAN,FASILKOM,FT/FISIP,LAPANGAN TENIS UI,01-11-2024,20.30-21.30,
11,VOLI,FIK,FT,SOR,01-11-2024,18.30-20.00,
12,VOLI,FASILKOM,FH,SOR,01-11-2024,20.00-21.30,
13,HOCKEY,FKM,FIA,LAPANGAN FISIP,01-11-2024,18.00-19.30,
14,TENIS MEJA,FIB,FT,AULA 2 PUSGIWA,01-11-2024,17.00-17.45,
15,TENIS MEJA,FK,FEB,AULA 2 PUSGIWA,01-11-2024,17.45-18.30,
16,TENIS MEJA,VOK,FIB,AULA 2 PUSGIWA,01-11-2024,18.30-19.15,
17,TENIS MEJA,FEB,FH,AULA 2 PUSGIWA,01-11-2024,19.15-20.00,
18,TENIS MEJA,FK,FH,AULA 2 PUSGIWA,01-11-2024,17.00-17.45,
19,TENIS MEJA,FT,FISIP,AULA 2 PUSGIWA,01-11-2024,18.30-19.15,
20,TENIS MEJA,FMIPA,FH,AULA 2 PUSGIWA,01-11-2024,19.15-20.00,
21,BASKET,FT,FKM,GYMNASIUM,01-11-2024,18.30-21.00,
22,BASKET,FIA,FPSI,GYMNASIUM,01-11-2024,20.00-21.30,
23,BASKET,FIB,FT,GYMNASIUM,01-11-2024,21.30-23.00,Batas Adjie
24,SEPAK BOLA,FASILKOM,FIB,STADION,29-10-2024,19.00-22.00,
25,VALORANT,FEB,FKG,ONLINE,29-10-2024,18.15-21.00,
26,VALORANT,FASILKOM,FMIPA,ONLINE,29-10-2024,21.00-22.45,
27,VOLI,FKG,FKM,SOR,29-10-2024,20.40-21.20,
28,VOLI,VOKASI,FIK,SOR,29-10-2024,20.40-21.20,
29,FUTSAL,FT,FF,SOR,29-10-2024,19.00-20.00,
30,FUTSAL,FPSI,FASILKOM,SOR,29-10-2024,20.00-21.00,
31,FUTSAL,FISIP,FH,SOR,29-10-2024,21.00-22.00,
32,BASKET,FKG,FMIPA,GYMNASIUM,29-10-2024,18.30-20.00,
33,BASKET,FASILKOM,FKM,GYMNASIUM,29-10-2024,20.00-21.30,
34,BASKET,FKG,FIB,GYMNASIUM,29-10-2024,21.30-23.00,
35,FUTSAL,FEB,FIB,SOR,21-11-2023,18.30-20.00,
36,FUTSAL,FT,FMIPA,SOR,21-11-2023,20.00-21.30,
